"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
51,2024,0.285091603873298,0.0543798014012783,22593,0.0377364506138468,0.0326649643820454,0.518422611823344,-4.14330322020826e-18
52,2009,0.442200074205175,0.0824770754234085,22733,0.0426759147684809,0.0336187721127277,0.732256906335964,-1.24109981454481e-19
52,2016,0.890795360319316,0.0982996329347779,22733,0.0321445095266116,0.0258335362193875,0.893062772708516,-6.06224576660901e-18
52,2024,0.411106520565227,0.0609434290591768,22593,0.032944975518233,0.0281973523494652,0.70775719487138,3.54628479613232e-18
53,2009,0.798924845643342,0.104969047063874,22733,0.0538643856418128,0.0419685826912199,0.736670195326003,1.15005709318647e-19
53,2016,0.910276643233374,0.100450442951753,22733,0.0334850113344551,0.0270602060019577,0.888873843750484,1.14791589166621e-17
53,2024,0.352922858437523,0.0581648370551566,22593,0.0348752551294319,0.030001940149829,0.640471785359996,1.13017639002195e-17
54,2009,0.12189925997518,0.0611107565745839,22733,0.0422788309779592,0.0359932175427754,0.521337147633399,9.31471278240034e-18
54,2016,0.842328519793227,0.0936795501073518,22733,0.0296259126648699,0.0235623391302348,0.899983192420735,3.59729426648078e-18
54,2024,0.131282173795626,0.0433061622745789,22593,0.0470452840378146,0.0413870908965321,-0.180190229737594,-5.07977066963329e-18
55,2009,0.560947983758524,0.0888137214131037,22733,0.0448946226873052,0.0349006104721165,0.744466631191003,1.10681545202716e-17
55,2016,0.549149531405419,0.0749095446744369,22733,0.0269400934873332,0.0223040149237869,0.870656982989091,1.87697463551421e-18
55,2024,0.46446375688538,0.0633395055975715,22593,0.0314409156097542,0.0267644281490802,0.753588907346307,-1.20513260860055e-17
56,2009,0.20653138961643,0.0681560926339739,22733,0.0410474089717055,0.0340219348819823,0.637271873803753,-3.61242363938215e-18
56,2016,0.264874405460432,0.0599157079026525,22733,0.0337724896590017,0.0291139161409475,0.6822658687486,3.68971739854733e-18
56,2024,0.186938889557496,0.0478127010081535,22593,0.0431189907169736,0.0376965404631075,0.186664291407178,-1.24556764381217e-17
57,2009,0.127531650243327,0.061640091445938,22733,0.042139553313717,0.0358103542961173,0.532617538719364,8.42131967599291e-18
57,2016,0.804594574961811,0.0905724209579925,22733,0.0282648049183848,0.0224037315525575,0.902608930184725,3.65756912057458e-18
57,2024,0.0781987146474421,0.0380335096961401,22593,0.0518379043660853,0.0458782043624643,-0.857724412094067,-5.57048276597062e-18
58,2009,0.753307864302769,0.101304128465444,22733,0.0514901580673903,0.0397740776792877,0.741647144845166,-6.93674832060389e-18
58,2016,0.0664289579726756,0.0424574790846068,22733,0.0474696031107052,0.041871644538827,-0.25009177334516,4.7506069946824e-19
58,2024,0.03006725711748,0.0313756102983899,22593,0.0581805574787104,0.0517955452701611,-2.43867091372796,-3.97580566973736e-18
59,2009,0.895045359153301,0.114469314975506,22733,0.0606785405350343,0.0485827745904189,0.718996849112542,-4.61607075415818e-18
59,2016,0.0799470371566713,0.0441262723124772,22733,0.0459938640381508,0.0405083591007837,-0.0864867069405695,4.20345642508893e-19
59,2024,0.497081065084785,0.0648431305567422,22593,0.030570900424729,0.0259146107992425,0.777716239188603,-9.95572675911349e-18
60,2009,0.374462775886059,0.0788499163557492,22733,0.0417686164003822,0.0332304293052223,0.719381170148865,-2.87718011305486e-18
60,2016,0.278302276739851,0.0607982821574873,22733,0.0332097098104287,0.0285832253979512,0.701622102853518,9.135951235129e-18
